id,description,hierarchy_levels,type,source
ESCO_013a64b9-5e74-4f7f-af5b-9ec76715238b,inspect offshore constructions,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.5', 'ESCO_S1.5.1']]",preferredLabel,esco
ESCO_01468114-b99c-4f48-9374-a520a7faa9c9,transport patient to medical facility,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.6', 'ESCO_S3.6.1']]",preferredLabel,esco
ESCO_0156865e-5010-4908-8e0f-ce3aebc2d136,adjust envelope cutting settings,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.2'], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",preferredLabel,esco
ESCO_0157feec-52c2-4764-b83d-2d017ce8e49d,prepare oils,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.3', 'ESCO_S6.3.1']]",preferredLabel,esco
ESCO_015b0162-6dd3-4d46-bbfd-325086155dd5,purchase supplies,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.6', 'ESCO_S1.6.3'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.3', 'ESCO_S4.3.3']]",preferredLabel,esco
ESCO_015cd017-b146-4c9d-ab10-5dfca451c30a,pursue excellence in the creation of food products,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.11', 'ESCO_S1.11.3'], ['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None], ['ESCO_A', 'ESCO_A1', 'ESCO_A1.12', 'ESCO_A1.12.0']]",preferredLabel,esco
ESCO_0162b701-6bb4-400a-b557-7996053d7daf,maintain personal hygiene standards when cleaning,"[['ESCO_T', 'ESCO_T6', 'ESCO_T6.1', None]]",preferredLabel,esco
ESCO_0167ee96-f478-4383-afe6-aabf387da5b3,liaise with typists,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.2', 'ESCO_S1.2.1']]",preferredLabel,esco
ESCO_016cee6c-9e95-466c-bd51-d63327751aa2,assess railway operations,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.1', 'ESCO_S2.1.1']]",preferredLabel,esco
ESCO_016e7bf4-fe86-4a1f-ace1-54e5b697293d,practise extreme sports,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.14', 'ESCO_S1.14.1']]",preferredLabel,esco
ESCO_0174a9e6-bf12-4ac3-bfc3-0a5469410f18,provide chaperone for children on set,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.6', 'ESCO_S3.6.3']]",preferredLabel,esco
ESCO_01755f08-4df4-4cf0-8d22-08f94cad68b5,organise labour,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.0']]",preferredLabel,esco
ESCO_017738e7-7d12-4e87-a580-8523405bab96,use glass engraving tools,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",preferredLabel,esco
ESCO_017d3b78-ebfa-431d-acc5-8050e9b0fdc8,operate wrecking ball,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.1', 'ESCO_S8.1.1']]",preferredLabel,esco
ESCO_018164df-2814-4926-bdf7-398d86b9dfe6,evaluate garment quality,"[['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None], ['ESCO_A', 'ESCO_A1', 'ESCO_A1.12', 'ESCO_A1.12.0'], ['ESCO_S', 'ESCO_S2', 'ESCO_S2.8', 'ESCO_S2.8.1']]",preferredLabel,esco
ESCO_01819474-b960-4b8f-b020-2da26518d43a,apply for refunds,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.4', 'ESCO_S4.4.2']]",preferredLabel,esco
ESCO_0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (learning management systems),"[['ESCO_K', 'ESCO_K06', 'ESCO_K061', 'ESCO_K0612'], ['ESCO_K', 'ESCO_K04', 'ESCO_K041', 'ESCO_K0413']]",preferredLabel,esco
ESCO_0194a8eb-c262-411a-ad3f-f3d587630562,peform small vessel administrative duties,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.4', 'ESCO_S4.4.0']]",preferredLabel,esco
ESCO_0196d283-9b1a-43a5-b219-43580c7cf560,cosmetics ingredients,"[['ESCO_K', 'ESCO_K10', 'ESCO_K101', 'ESCO_K1012']]",preferredLabel,esco
ESCO_01a6e6ae-32d5-440a-bdb3-c9ed8a1f57c0,human dynamics as part of hospitality security,"[['ESCO_K', 'ESCO_K10', 'ESCO_K103', 'ESCO_K1032']]",preferredLabel,esco
